"Lake","Bags","CO2","CH4"
"Ar","B1",4.20629,9.10476
"Ar","M11",5.15116,8.97793
"Ar","B2",11.8743,10.713
"Ar","M2",11.81885,10.17585
"Ar","B4",1380.81,2.62343
"Ar","B3",1372.67,2.626205
"Ar","M5",1838.75,2.15164
"Ar","B5",2214.825,2.208845
"Ar","M6",2110.93,2.00475
"Ar","B6",2070.56,2.0269
"Ar","M8",2796.28,321.884
"Ar","B8",3010.035,356.1915
"Ar","M10",3116.97,704.597
"Ar","B10",3054.78,696.5465
"Ar","M13",3138.66,780.784
"Ar","B13",3136.68,781.405
"Ar","M4",3167.475,898.757
"Ar","B12",3289.76,966.517
"Sc","M1",537.4365,21.25405
"Sc","B1",543.35,22.0174
"Sc","M3",2395.65,9.18017
"Sc","B3",2441.76,9.54408
"Sc","M4",2746.07,7.76712
"Sc","B4",2797.97,7.813675
"Sc","M5",2885.69,78.2685
"Sc","B5",2946.185,80.7696
"Sc","M6",2934.75,276.862
"Sc","B6",2877.92,262.9955
"Sc","M8",3245.18,1116.9
"Sc","B8",3206.33,1095.695
"Sc","M10",3166.67,1111.47
"Sc","B10",3221.935,1098.26
"Sc","M11",3159.05,1136.16
"Sc","B11",3215.055,1098
"Gg","M1",327.4615,34.0381
"Gg","B1",332.202,34.2964
"Gg","M3",327.461,35.8084
"Gg","B3",325.422,35.4608
"Gg","M4",2246.67,12.3434
"Gg","B4",2260.31,12.2884
"Gg","M5",2938.69,230.13
"Gg","B5",2986.8,239.604
"Gg","M6",2558.01,382.464
"Gg","B6",2112.45,291.868
"Gg","M8",1672.245,1091.845
"Gg","B8",1743.39,1162.32
"FukuNO","M13",288.1615,35.73075
"FukuNO","B13",303.737,24.1804
"FukuNO","M3",5099.79,483.5415
"FukuNO","B3",5144.57,497.063
"FukuNO","M5",8630.175,2163.695
"FukuNO","B5",8752.48,2173.74
"FukuSW","M10",2540.245,101.3955
"FukuSW","B10",2540.78,94.042
"FukuSW","M6",6686.2,686.74
"FukuSW","B6",6652.41,676.12
"FukuSW","M12",7685.5,878.527
"FukuSW","B12",7578.865,867.763
"FukuSW","M4",8709.68,1612.69
"FukuSW","B4",8702.16,1611.63
"Hs","M1",604.77,26.5757
"Hs","B1",606.433,25.9262
"Hs","M3",655.569,27.7659
"Hs","B3",659.781,28.8726
"Hs","M4",2711.42,7.084225
"Hs","B4",2683.04,8.69359
"Hs","M5",3206.06,52.14705
"Hs","B5",3153.21,49.9123
"Hs","B6",2524.89,1324.685
"Hs","M6",2530.15,1334.26
"Hs","M10",3869.915,1999.335
"Hs","B10",3851.7,2017.53
"Hs","M11",4827.96,2213.92
"Hs","B11",4840.48,2206.89
"Hs","M13",6076.63,2296.14
"Hs","B13",6043.56,2302.23
"St","M1",229.357,16.0389
"St","B1",231.405,16.1664
"St","M3",159.002,4.64883
"St","B3",161.773,4.79799
"St","B4",1959.91,2.87464
"St","M4",1919.07,2.81329
"St","M5",3392.18,23.1744
"St","B5",3295.55,23.3223
"St","B8",3358.83,199.148
"St","B6",3869.08,263.724
"St","M12",3221.03,338.415
"St","B12",3184.67,342.346
