"Depth","alpha"
1,0.0398435979399677
2,0.0415537410373464
3,0.0434172712026204
4,0.0454557938711129
5,0.0476951720423536
6,0.0501666293674352
7,0.0529082149359786
8,0.0559667761286888
9,0.0594006577445952
10,0.0632834597202656
11,0.0677093716908543
12,0.0728009144095915
13,0.0787204579607519
14,0.0856878567040033
15,0.0940083585978901
16,0.10411852363681
17,0.116665342738903
18,0.132650400112971
19,0.153711367995763
20,0.18272227090905
21,0.225231639722806
22,0.293516759696978
23,0.421221580310003
24,0.745637461633172
25,3.24442252072556
